ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
33,0.333,0.000,0.333,0.000,0.000,0.333,0.412,0.427,0.422,0.420,0.680,0.467
34,0.000,0.333,0.333,0.000,0.000,0.333,0.592,0.563,0.306,0.295,0.560,0.533
35,0.333,0.000,0.000,0.333,0.000,0.333,0.493,0.485,0.367,0.365,0.560,0.533
36,0.000,0.333,0.000,0.333,0.000,0.333,0.499,0.478,0.278,0.278,0.560,0.333
37,0.000,0.000,0.333,0.333,0.000,0.333,0.594,0.577,0.413,0.395,0.560,0.400
38,0.333,0.000,0.000,0.000,0.333,0.333,0.481,0.460,0.265,0.263,0.680,0.467
39,0.000,0.333,0.000,0.000,0.333,0.333,0.506,0.478,0.230,0.226,0.800,0.400
40,0.000,0.000,0.333,0.000,0.333,0.333,0.479,0.455,0.255,0.247,0.560,0.467
41,0.000,0.000,0.000,0.333,0.333,0.333,0.451,0.431,0.247,0.252,0.680,0.400
42,0.250,0.250,0.250,0.250,0.000,0.000,0.791,0.773,0.559,0.521,0.560,0.467
43,0.250,0.250,0.250,0.000,0.250,0.000,0.640,0.627,0.488,0.448,0.560,0.733
44,0.250,0.250,0.000,0.250,0.250,0.000,0.665,0.641,0.419,0.399,0.800,0.667
45,0.250,0.000,0.250,0.250,0.250,0.000,0.670,0.677,0.610,0.559,0.560,0.400
46,0.000,0.250,0.250,0.250,0.250,0.000,0.679,0.658,0.447,0.421,0.680,0.533
47,0.250,0.250,0.250,0.000,0.000,0.250,0.581,0.566,0.377,0.366,0.680,0.600
48,0.250,0.250,0.000,0.250,0.000,0.250,0.544,0.520,0.303,0.301,0.560,0.600
49,0.250,0.000,0.250,0.250,0.000,0.250,0.584,0.583,0.470,0.460,0.680,0.467
50,0.000,0.250,0.250,0.250,0.000,0.250,0.614,0.585,0.343,0.327,0.680,0.600
51,0.250,0.250,0.000,0.000,0.250,0.250,0.506,0.476,0.227,0.222,0.560,0.533
52,0.250,0.000,0.250,0.000,0.250,0.250,0.493,0.480,0.355,0.343,0.680,0.600
53,0.000,0.250,0.250,0.000,0.250,0.250,0.559,0.526,0.256,0.245,0.560,0.667
54,0.250,0.000,0.000,0.250,0.250,0.250,0.533,0.508,0.294,0.293,0.560,0.667
55,0.000,0.250,0.000,0.250,0.250,0.250,0.485,0.464,0.248,0.257,0.800,0.333
56,0.000,0.000,0.250,0.250,0.250,0.250,0.556,0.530,0.331,0.313,0.680,0.533
57,0.200,0.200,0.200,0.200,0.200,0.000,0.729,0.705,0.501,0.459,0.560,0.600
58,0.200,0.200,0.200,0.200,0.000,0.200,0.628,0.603,0.401,0.373,0.560,0.533
59,0.200,0.200,0.200,0.000,0.200,0.200,0.548,0.522,0.311,0.294,0.560,0.667
60,0.200,0.200,0.000,0.200,0.200,0.200,0.544,0.514,0.262,0.257,0.680,0.600
61,0.200,0.000,0.200,0.200,0.200,0.200,0.588,0.566,0.391,0.369,0.560,0.467
62,0.000,0.200,0.200,0.200,0.200,0.200,0.571,0.542,0.304,0.293,0.680,0.667
63,0.167,0.167,0.167,0.167,0.167,0.167,0.638,0.602,0.331,0.312,0.560,0.800
