ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
32,0.333,0.333,0.000,0.000,0.000,0.333,0.750,0.778,0.413,0.514,0.560,0.575
33,0.333,0.000,0.333,0.000,0.000,0.333,0.589,0.676,0.390,0.650,0.560,0.425
34,0.000,0.333,0.333,0.000,0.000,0.333,0.715,0.637,0.585,0.681,0.560,0.500
35,0.333,0.000,0.000,0.333,0.000,0.333,0.470,0.624,0.317,0.515,0.560,0.575
36,0.000,0.333,0.000,0.333,0.000,0.333,0.621,0.481,0.706,0.746,0.440,0.725
37,0.000,0.000,0.333,0.333,0.000,0.333,0.556,0.616,0.438,0.659,0.440,0.500
38,0.333,0.000,0.000,0.000,0.333,0.333,0.605,0.703,0.352,0.459,0.680,0.500
39,0.000,0.333,0.000,0.000,0.333,0.333,0.486,0.351,0.711,0.534,0.320,0.650
40,0.000,0.000,0.333,0.000,0.333,0.333,0.504,0.629,0.348,0.515,0.560,0.425
41,0.000,0.000,0.000,0.333,0.333,0.333,0.200,0.218,0.573,0.580,0.200,0.350
42,0.250,0.250,0.250,0.250,0.000,0.000,0.675,0.682,0.469,0.573,0.440,0.575
43,0.250,0.250,0.250,0.000,0.250,0.000,0.601,0.585,0.505,0.411,0.680,0.575
44,0.250,0.250,0.000,0.250,0.250,0.000,0.396,0.421,0.499,0.366,0.320,0.500
45,0.250,0.000,0.250,0.250,0.250,0.000,0.486,0.678,0.245,0.311,0.560,0.500
46,0.000,0.250,0.250,0.250,0.250,0.000,0.414,0.422,0.524,0.435,0.560,0.650
47,0.250,0.250,0.250,0.000,0.000,0.250,0.749,0.759,0.448,0.612,0.560,0.425
48,0.250,0.250,0.000,0.250,0.000,0.250,0.649,0.729,0.371,0.511,0.560,0.575
49,0.250,0.000,0.250,0.250,0.000,0.250,0.543,0.697,0.309,0.607,0.560,0.575
50,0.000,0.250,0.250,0.250,0.000,0.250,0.729,0.704,0.508,0.663,0.680,0.650
51,0.250,0.250,0.000,0.000,0.250,0.250,0.648,0.660,0.451,0.364,0.800,0.725
52,0.250,0.000,0.250,0.000,0.250,0.250,0.650,0.744,0.349,0.495,0.680,0.575
53,0.000,0.250,0.250,0.000,0.250,0.250,0.593,0.528,0.586,0.542,0.560,0.500
54,0.250,0.000,0.000,0.250,0.250,0.250,0.352,0.598,0.200,0.255,0.560,0.425
55,0.000,0.250,0.000,0.250,0.250,0.250,0.484,0.363,0.703,0.631,0.440,0.650
56,0.000,0.000,0.250,0.250,0.250,0.250,0.405,0.573,0.309,0.461,0.560,0.350
57,0.200,0.200,0.200,0.200,0.200,0.000,0.523,0.600,0.397,0.362,0.560,0.575
58,0.200,0.200,0.200,0.200,0.000,0.200,0.705,0.800,0.342,0.577,0.560,0.500
59,0.200,0.200,0.200,0.000,0.200,0.200,0.719,0.708,0.471,0.475,0.560,0.575
60,0.200,0.200,0.000,0.200,0.200,0.200,0.516,0.560,0.446,0.399,0.560,0.650
61,0.200,0.000,0.200,0.200,0.200,0.200,0.533,0.749,0.210,0.432,0.560,0.425
62,0.000,0.200,0.200,0.200,0.200,0.200,0.570,0.553,0.523,0.498,0.560,0.800
63,0.167,0.167,0.167,0.167,0.167,0.167,0.564,0.670,0.349,0.403,0.560,0.650
